brand,os,ram,harddisksize,harddisktype,output
dell,Windows,2,128,HDD,Dell-Dw1
dell,Windows,2,128,SSD,Dell-Dw2
dell,Windows,2,128,Hardisk,Dell-Dw3
dell,Windows,2,128,solid state device,Dell-Dw4
dell,Windows,2,256,HDD,Dell-Dw5
dell,Windows,2,256,SSD,Dell-Dw6
dell,Windows,2,256,Hardisk,Dell-Dw7
dell,Windows,2,256,solid state device,Dell-Dw8
dell,Windows,2,500,HDD,Dell-Dw9
dell,Windows,2,500,SSD,Dell-Dw10
dell,Windows,2,500,Hardisk,Dell-Dw11
dell,Windows,2,500,solid state device,Dell-Dw12
dell,Windows,2,512,HDD,Dell-Dw13
dell,Windows,2,512,SSD,Dell-Dw14
dell,Windows,2,512,Hardisk,Dell-Dw15
dell,Windows,2,512,solid state device,Dell-Dw16
dell,Windows,2,750,HDD,Dell-Dw17
dell,Windows,2,750,SSD,Dell-Dw18
dell,Windows,2,750,Hardisk,Dell-Dw19
dell,Windows,2,750,solid state device,Dell-Dw20
dell,Windows,2,1024,HDD,Dell-Dw21
dell,Windows,2,1024,SSD,Dell-Dw22
dell,Windows,2,1024,Hardisk,Dell-Dw23
dell,Windows,2,1024,solid state device,Dell-Dw24
dell,Windows,2,1TB,HDD,Dell-Dw25
dell,Windows,2,1TB,SSD,Dell-Dw26
dell,Windows,2,1TB,Hardisk,Dell-Dw27
dell,Windows,2,1TB,solid state device,Dell-Dw28
dell,Windows,4,128,HDD,Dell-Dw29
dell,Windows,4,128,SSD,Dell-Dw30
dell,Windows,4,128,Hardisk,Dell-Dw31
dell,Windows,4,128,solid state device,Dell-Dw32
dell,Windows,4,256,HDD,Dell-Dw33
dell,Windows,4,256,SSD,Dell-Dw34
dell,Windows,4,256,Hardisk,Dell-Dw35
dell,Windows,4,256,solid state device,Dell-Dw36
dell,Windows,4,500,HDD,Dell-Dw37
dell,Windows,4,500,SSD,Dell-Dw38
dell,Windows,4,500,Hardisk,Dell-Dw39
dell,Windows,4,500,solid state device,Dell-Dw40
dell,Windows,4,512,HDD,Dell-Dw41
dell,Windows,4,512,SSD,Dell-Dw42
dell,Windows,4,512,Hardisk,Dell-Dw43
dell,Windows,4,512,solid state device,Dell-Dw44
dell,Windows,4,750,HDD,Dell-Dw45
dell,Windows,4,750,SSD,Dell-Dw46
dell,Windows,4,750,Hardisk,Dell-Dw47
dell,Windows,4,750,solid state device,Dell-Dw48
dell,Windows,4,1024,HDD,Dell-Dw49
dell,Windows,4,1024,SSD,Dell-Dw50
dell,Windows,4,1024,Hardisk,Dell-Dw51
dell,Windows,4,1024,solid state device,Dell-Dw52
dell,Windows,4,1TB,HDD,Dell-Dw53
dell,Windows,4,1TB,SSD,Dell-Dw54
dell,Windows,4,1TB,Hardisk,Dell-Dw55
dell,Windows,4,1TB,solid state device,Dell-Dw56
dell,Windows,6,128,HDD,Dell-Dw57
dell,Windows,6,128,SSD,Dell-Dw58
dell,Windows,6,128,Hardisk,Dell-Dw59
dell,Windows,6,128,solid state device,Dell-Dw60
dell,Windows,6,256,HDD,Dell-Dw61
dell,Windows,6,256,SSD,Dell-Dw62
dell,Windows,6,256,Hardisk,Dell-Dw63
dell,Windows,6,256,solid state device,Dell-Dw64
dell,Windows,6,500,HDD,Dell-Dw65
dell,Windows,6,500,SSD,Dell-Dw66
dell,Windows,6,500,Hardisk,Dell-Dw67
dell,Windows,6,500,solid state device,Dell-Dw68
dell,Windows,6,512,HDD,Dell-Dw69
